AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2019-20,40,5.7,5.3,5.2,16,"2,702","52,444",> 100%
National,,All,2019-20,41,5.7,5.4,5.3,16,"2,769","52,858",> 100%
National,,All,2019-20,42,5.8,5.5,5.5,18,"2,976","54,120",> 100%
National,,All,2019-20,43,5.9,5.6,5.6,30,"2,984","53,906",> 100%
National,,All,2019-20,44,6,5.7,5.4,31,"2,906","53,971",> 100%
National,,All,2019-20,45,6.2,5.8,5.6,31,"3,061","55,460",> 100%
National,,All,2019-20,46,6.3,5.9,5.6,39,"3,092","55,679",> 100%
National,,All,2019-20,47,6.4,6,5.4,50,"2,992","55,976",> 100%
National,,All,2019-20,48,6.5,6.2,5.5,65,"2,971","55,225",> 100%
National,,All,2019-20,49,6.6,6.3,6,99,"3,305","56,974",> 100%
National,,All,2019-20,50,6.7,6.4,6.2,110,"3,445","57,246",> 100%
National,,All,2019-20,51,6.8,6.5,6.1,125,"3,342","56,970",> 100%
National,,All,2019-20,52,6.9,6.6,6.3,197,"3,463","57,921",> 100%
National,,All,2019-20,1,7,6.7,7.4,407,"3,972","58,822",> 100%
National,,All,2019-20,2,7.1,6.7,7.5,442,"3,955","58,670",> 100%
National,,All,2019-20,3,7.2,6.8,7.5,429,"3,862","56,942",> 100%
National,,All,2019-20,4,7.2,6.9,7.4,457,"3,673","56,111",> 100%
National,,All,2019-20,5,7.3,6.9,7.2,433,"3,512","54,926",> 100%
National,,All,2019-20,6,7.3,7,7.2,460,"3,503","55,054",> 100%
National,,All,2019-20,7,7.3,7,7.3,466,"3,440","53,647",> 100%
National,,All,2019-20,8,7.3,7,7.1,476,"3,299","52,985",> 100%
National,,All,2019-20,9,7.3,7,7.3,525,"3,262","51,721",> 100%
National,,All,2019-20,10,7.3,7,7.5,484,"3,092","47,917",> 100%
National,,All,2019-20,11,7.3,6.9,7.4,365,"2,431","37,641",79.1%
